identifier ,condition,income_level
1317,recommendation,non-LMI
,,
1320,recommendation,non-LMI
,,
1321,recommendation,non-LMI
,,
1323,recommendation,non-LMI
,,
1324,recommendation,non-LMI
,,
1331,recommendation,non-LMI
,,
1336,recommendation,non-LMI
,,
1340,recommendation,non-LMI
,,
1350,recommendation,non-LMI
,,
1354,recommendation,non-LMI
,,
1357,recommendation,non-LMI
,,
1358,recommendation,non-LMI
,,
1360,recommendation,non-LMI
,,
1364,recommendation,non-LMI
,,
1367,recommendation,non-LMI
,,
1377,recommendation,non-LMI
,,
1382,recommendation,non-LMI
,,
1384,recommendation,non-LMI
,,
1385,recommendation,non-LMI
,,
1389,recommendation,non-LMI
,,
1392,recommendation,non-LMI
,,
1396,recommendation,non-LMI
,,
1398,recommendation,non-LMI
,,
1405,recommendation,non-LMI
,,
1408,recommendation,non-LMI
,,
1417,recommendation,non-LMI
,,
1418,recommendation,non-LMI
,,
1419,recommendation,non-LMI
,,
1421,recommendation,non-LMI
,,
1422,recommendation,non-LMI
,,
1444,recommendation,non-LMI
,,
1446,recommendation,non-LMI
,,
1448,recommendation,non-LMI
,,
1452,recommendation,non-LMI
,,
1605,control,non-LMI
,,
1606,control,non-LMI
,,
1607,control,non-LMI
,,
1608,control,non-LMI
,,
1615,control,non-LMI
,,
1616,control,non-LMI
,,
1617,control,non-LMI
,,
1619,control,non-LMI
,,
1621,control,non-LMI
,,
1622,control,non-LMI
,,
1623,control,non-LMI
,,
1634,control,non-LMI
,,
1637,control,non-LMI
,,
1640,control,non-LMI
,,
1643,control,non-LMI
,,
1644,control,non-LMI
,,
1646,control,non-LMI
,,
1648,control,non-LMI
,,
1655,control,non-LMI
,,
1658,control,non-LMI
,,
1672,control,non-LMI
,,
1688,control,non-LMI
,,
1690,control,non-LMI
,,
1700,control,non-LMI
,,
1702,control,non-LMI
,,
1707,control,non-LMI
,,
1457,recommendation,non-LMI
,,
1458,recommendation,non-LMI
,,
1461,recommendation,non-LMI
,,
1463,recommendation,non-LMI
,,
1465,recommendation,non-LMI
,,
1468,recommendation,non-LMI
,,
1470,recommendation,non-LMI
,,
1471,recommendation,non-LMI
,,
1474,recommendation,non-LMI
,,
1479,recommendation,non-LMI
,,
1486,recommendation,non-LMI
,,
1490,recommendation,non-LMI
,,
1496,recommendation,non-LMI
,,
1500,recommendation,non-LMI
,,
1507,recommendation,non-LMI
